original_prompt,altered_prompt
i am good at running and was a hockey player. do i suit the position?," ""As an athlete with experience in both endurance and physical contact, am I a good fit for this demanding role?"""
at amazon we always need good runners," ""At Amazon, we're always on the lookout for top-notch delivery experts"""
then maybe i will apply!," ""Now that I've given it some thought, applying might just be the next step!"""
"great, they have good work life balance", Their ability to achieve a great work-life balance is impressive.
what else do you enjoy?, What are some other things that bring a smile to your face?
i love playing with my kids," ""I cherish spending quality time with my little ones"""
"nice, how many do you have?", How many nice things do you have?
hi how are you today? sorry!!," ""hello, what's on your mind today?"""
i am well. listening to some blues this morning," ""Sipping coffee, indulging in some soulful blues"""
is that your favorite music?, Is this song part of a genre you really enjoy?
actually my favorite is prince. do u have any hobbies?," ""Actually, Prince's music is a big part of my daily routine - I find myself humming 'Purple Rain' while going about my tasks. Do you have any favorite hobbies or activities that help you unwind?"""
i love baseball its the best!," ""I'm completely enamored with America's favorite pastime - it really is the best!"""
do u play or just like to watch?," ""Do you prefer being an active participant or a casual spectator?"""
i love the watch. go nats!, I'm loving the Nats' game!
nice! do u speak any other languages?," ""oh, cool! do you have a knack for speaking multiple tongues?"""
i do not but i would love to learn. you?," ""I don't know, but I'm eager to discover; you?"""
i can only speak english and spanish. what do u do for work?," What languages do you speak, and what do you do for work?"
i work for the government but do not tell anyone," ""I have a job that involves serving my community, but I'm not supposed to share any details about it with anyone outside of necessity"""
i certainly wo not! i do data entry its a tad boring. yours sounds exciting.," I'm surprised to hear that, but honestly, my job is quite tedious too! Data entry can be a bit dull, don't you think?"
yeah but i always gotta watch my back," I'm always on edge, never knowing what's lurking behind"
oh no! sounds a bit unsafe!," Oh dear, sounds a bit concerning!"
yeah it keeps me on edge that is why i watch baseball," ""It's the thrill of uncertainty that keeps me hooked, which is why I'm drawn to the suspenseful world of baseball."""
i can imagine so! i would love to learn to cook chinese. my mom was half chinese.," ""i've always been fascinated by chinese cuisine! my mom's cultural heritage has sparked my curiosity to explore cooking techniques from that part of the world."""
"hi! i am sitting here enjoying my favorite drink, a caramel cappuccino. you?"," ""Ah, sipping on a warm afternoon with a soothing vanilla latte - what's your go-to drink to unwind?"""
hi how are you today?," ""hello, how's your morning going so far?"""
doing pretty good since i got off of work from the coffee shop an hour ago.," ""Doing pretty well since I grabbed a coffee to go after finishing up my shift at the shop, still enjoying the quiet evening vibe."""
do you have any pets then?, Are there any furry friends waiting for your attention at home?
no. do you? do you live near your parents? mine are living across the street.," ""Do I? Do my siblings live close to their childhood home?"""
i have a huge husky it is sweet," I've been lucky enough to share my life with an enormous, yet lovable husky that has stolen my heart."
i love huskies! do you read books? i love books about true crime.," ""Sleuthing mysteries fascinates me almost as much as huskies do! Do you have a favorite true crime author or podcast?"""
i mostly just play my nintendo," ""I spend most of my free time indulging in nostalgic gaming sessions on my Nintendo console."""
old or new version? i love playing on both. did you get the new old system?," ""Puzzled by the paradox of gaming nostalgia, I'm torn between old and new versions. Did you also get the revamped classic edition?"""
